filename,measure_family,sex,data_year,release_date,size_mb
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2003_MALE_Y2026M03D18.CSV,BURDEN,MALE,2003,2026-03-18,58.23
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2004_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2004,2026-03-18,58.21
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2004_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2004,2026-03-18,58.79
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2004_MALE_Y2026M03D18.CSV,BURDEN,MALE,2004,2026-03-18,58.23
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2005_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2005,2026-03-18,58.21
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2005_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2005,2026-03-18,58.79
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2005_MALE_Y2026M03D18.CSV,BURDEN,MALE,2005,2026-03-18,58.23
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2006_BOTH_Y2026M03D18.CSV,BURDEN,BOTH,2006,2026-03-18,58.21
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2006_FEMALE_Y2026M03D18.CSV,BURDEN,FEMALE,2006,2026-03-18,58.79
IHME_USA_BMI_COUNTY_RACE_ETHNICITY_2000_2019_BURDEN_NEO_GALLBLADDER_2006_MALE_Y2026M03D18.CSV,BURDEN,MALE,2006,2026-03-18,58.23
